#: table_doi: 10.17182/hepdata.29800.v1/t2
#: name: Table 2
#: description: No description provided.
#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> HADRONS X
#: keyword observables: CORR | DN/DCHI
#: keyword phrases: Inclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 59.5
#: RE,,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,59.5,,,,
CHI [DEGREES],CHI [DEGREES] LOW,CHI [DEGREES] HIGH,EEC(CHI) PER RADIAN,error +,error -,"sys,Typical value of the systematic uncertainty//The data are fully corrected for the effects of initial state radiation, detector acceptance, and resolution +","sys,Typical value of the systematic uncertainty//The data are fully corrected for the effects of initial state radiation, detector acceptance, and resolution -"
1.8,0.0,3.6,3.166,0.084,-0.084,4.0%,-4.0%
5.4,3.6,7.2,1.037,0.027,-0.027,4.0%,-4.0%
9.0,7.2,10.8,0.85,0.017,-0.017,4.0%,-4.0%
12.600000000000001,10.8,14.4,0.654,0.017,-0.017,4.0%,-4.0%
16.2,14.4,18.0,0.47,0.013,-0.013,4.0%,-4.0%
19.8,18.0,21.6,0.397,0.012,-0.012,4.0%,-4.0%
23.4,21.6,25.2,0.31,0.008,-0.008,4.0%,-4.0%
27.0,25.2,28.8,0.244,0.009,-0.009,4.0%,-4.0%
30.6,28.8,32.4,0.194,0.007,-0.007,4.0%,-4.0%
34.2,32.4,36.0,0.176,0.007,-0.007,4.0%,-4.0%
37.8,36.0,39.6,0.144,0.006,-0.006,4.0%,-4.0%
41.400000000000006,39.6,43.2,0.145,0.005,-0.005,4.0%,-4.0%
45.0,43.2,46.8,0.139,0.005,-0.005,4.0%,-4.0%
48.599999999999994,46.8,50.4,0.114,0.004,-0.004,4.0%,-4.0%
52.2,50.4,54.0,0.11,0.005,-0.005,4.0%,-4.0%
55.8,54.0,57.6,0.101,0.004,-0.004,4.0%,-4.0%
59.400000000000006,57.6,61.2,0.097,0.004,-0.004,4.0%,-4.0%
63.0,61.2,64.8,0.092,0.005,-0.005,4.0%,-4.0%
66.6,64.8,68.4,0.09,0.005,-0.005,4.0%,-4.0%
70.2,68.4,72.0,0.086,0.004,-0.004,4.0%,-4.0%
73.8,72.0,75.6,0.087,0.004,-0.004,4.0%,-4.0%
77.4,75.6,79.2,0.085,0.004,-0.004,4.0%,-4.0%
81.0,79.2,82.8,0.076,0.005,-0.005,4.0%,-4.0%
84.6,82.8,86.4,0.097,0.005,-0.005,4.0%,-4.0%
88.2,86.4,90.0,0.101,0.006,-0.006,4.0%,-4.0%

#: RE,,,E+ E- --> HADRONS X
#: SQRT(S) [GeV],,,59.5,,,,
CHI [DEGREES],CHI [DEGREES] LOW,CHI [DEGREES] HIGH,EEC(180-CHI) PER RADIAN,error +,error -,"sys,Typical value of the systematic uncertainty//The data are fully corrected for the effects of initial state radiation, detector acceptance, and resolution +","sys,Typical value of the systematic uncertainty//The data are fully corrected for the effects of initial state radiation, detector acceptance, and resolution -"
1.8,0.0,3.6,0.599,0.035,-0.035,4.0%,-4.0%
5.4,3.6,7.2,1.108,0.044,-0.044,4.0%,-4.0%
9.0,7.2,10.8,1.053,0.032,-0.032,4.0%,-4.0%
12.600000000000001,10.8,14.4,0.781,0.021,-0.021,4.0%,-4.0%
16.2,14.4,18.0,0.694,0.018,-0.018,4.0%,-4.0%
19.8,18.0,21.6,0.557,0.015,-0.015,4.0%,-4.0%
23.4,21.6,25.2,0.428,0.019,-0.019,4.0%,-4.0%
27.0,25.2,28.8,0.348,0.015,-0.015,4.0%,-4.0%
30.6,28.8,32.4,0.29,0.014,-0.014,4.0%,-4.0%
34.2,32.4,36.0,0.235,0.011,-0.011,4.0%,-4.0%
37.8,36.0,39.6,0.219,0.012,-0.012,4.0%,-4.0%
41.400000000000006,39.6,43.2,0.189,0.011,-0.011,4.0%,-4.0%
45.0,43.2,46.8,0.168,0.01,-0.01,4.0%,-4.0%
48.599999999999994,46.8,50.4,0.146,0.007,-0.007,4.0%,-4.0%
52.2,50.4,54.0,0.157,0.008,-0.008,4.0%,-4.0%
55.8,54.0,57.6,0.126,0.008,-0.008,4.0%,-4.0%
59.400000000000006,57.6,61.2,0.11,0.007,-0.007,4.0%,-4.0%
63.0,61.2,64.8,0.107,0.006,-0.006,4.0%,-4.0%
